,target
15465,0
25163,0
28328,1
6246,1
7059,1
16313,0
8496,1
7234,0
2555,0
5940,0
15743,0
21654,0
4488,0
19689,1
6375,0
32107,0
19482,1
23302,0
5704,1
27344,1
7458,0
2662,1
4427,1
22213,0
7604,0
5971,0
5607,1
26397,0
23233,0
32405,1
20622,0
31184,0
14227,0
10075,0
3121,0
29321,1
29235,0
25118,0
17518,0
21475,0
27413,0
1045,0
9286,0
2876,0
16956,0
31895,1
25501,0
10497,0
30566,1
478,1
23750,0
7750,0
11961,0
27031,0
29404,1
9300,1
12733,1
4070,1
4588,1
21793,1
7729,0
4300,0
11481,0
18665,0
24955,0
18121,0
7645,0
13451,0
1051,0
5781,0
195,0
20105,0
30970,0
26059,0
21030,0
14371,0
24888,1
13143,1
4548,0
15264,0
18756,0
23545,0
13629,0
2832,1
26789,0
24779,0
10580,0
22136,0
30442,0
26036,0
28489,1
10982,0
17820,1
23466,0
29272,0
14061,1
17576,0
23715,0
17959,0
26513,0
13520,0
13210,0
14489,0
6951,0
23840,1
27199,1
10622,0
11190,0
21423,0
8898,1
3942,1
24324,0
12326,0
9762,0
20690,0
20015,0
14629,1
23286,1
330,0
28425,0
25500,0
31882,0
25014,0
16766,0
27831,0
15605,0
4287,1
8133,0
15135,0
16537,1
12645,0
638,0
4725,0
7377,0
13771,0
6282,0
16289,0
28568,0
22077,0
27580,1
16409,0
4376,1
27163,0
23174,1
7471,1
3605,0
15249,0
11627,0
16504,0
10219,1
7213,0
25883,0
8833,0
24624,0
27455,0
27386,0
8121,0
13286,0
8742,0
29526,1
4506,1
9363,1
2738,0
22104,0
17480,0
12679,0
12451,0
115,1
16835,0
28754,0
1159,0
10077,0
4918,0
15893,1
9672,0
2496,0
3080,0
23515,0
18800,0
30004,0
3451,1
9050,1
22902,0
1938,0
26955,1
23278,1
20558,0
10268,0
634,0
23489,0
20567,0
21206,0
7057,1
18215,0
26209,1
20476,0
12321,0
8797,0
3182,0
10544,0
10767,1
20069,0
26750,0
17018,0
3480,0
25026,0
29805,1
23544,0
28687,0
2996,0
1115,1
11227,0
1574,0
16977,1
8542,0
8736,0
32325,1
14734,1
8476,0
10814,0
26371,0
1735,1
5670,1
14254,0
14873,0
15312,0
8707,0
4349,1
32187,0
3144,0
26476,1
30379,0
28434,1
12415,1
4673,1
32103,0
16834,0
5245,0
13693,1
16082,0
6543,0
2505,0
8224,0
19192,1
30786,0
20512,0
11826,0
668,0
28354,0
3950,0
21773,1
30225,0
14502,0
28380,0
22144,0
5677,0
14006,0
13361,0
32261,0
16220,0
2953,1
4570,0
2829,0
6046,0
11111,0
27526,0
1444,0
9926,1
18100,0
25127,0
5468,0
7944,0
18596,0
16749,0
18927,0
22353,0
21869,0
13992,0
16116,1
22085,0
26198,1
21007,0
28324,0
28785,0
2982,0
14392,0
16878,0
13931,0
21529,0
2094,0
15630,0
19518,0
8005,1
31396,0
14551,0
9579,1
28157,0
2245,0
6877,0
23144,0
12971,0
8654,0
8206,0
14774,0
15613,1
30464,0
15416,0
30865,0
9281,0
3903,0
17164,0
17355,0
3945,0
13904,1
4010,0
28653,1
20478,0
26449,0
11989,1
25488,0
8671,0
19717,1
21661,1
5217,0
15393,0
30101,0
13174,0
8458,0
5520,0
20290,0
6869,0
11394,0
429,0
2326,0
20325,0
19057,0
17307,0
23355,0
10536,0
552,0
25431,0
20999,0
20635,0
14200,0
24701,0
5124,0
7175,1
8374,0
7532,0
23026,0
26785,1
30048,0
13083,0
6342,0
16267,0
23740,1
20413,0
1258,0
6523,0
23119,0
16984,0
933,0
5125,0
485,0
5227,0
27707,0
21517,0
17844,0
4303,0
12827,0
5457,0
13394,1
15624,1
17698,0
29132,0
5298,0
18967,0
16998,0
20993,1
10711,0
20962,0
9352,1
15811,0
1657,0
18417,0
16661,0
12433,0
1977,0
20485,0
14115,0
22310,1
1089,0
5012,1
16828,0
25869,0
1973,1
25825,0
19967,1
18169,0
6285,0
17633,1
13416,1
13315,0
13303,0
12975,1
17708,0
31457,1
6516,0
13345,0
10386,0
22270,0
19885,0
25227,1
27721,0
1148,0
10898,1
1239,1
4755,0
15436,0
23362,0
9499,0
12282,0
10739,0
12264,1
28863,0
29331,0
26587,1
12899,1
5751,0
31414,0
26901,0
25992,0
1779,0
4508,1
257,0
20699,0
29012,0
3699,0
12849,0
8288,0
11341,0
18751,0
20106,0
31996,0
20698,0
29780,1
14625,0
17135,1
32096,0
4887,0
16073,0
2121,0
31698,1
12983,0
12120,1
32463,0
17393,0
307,0
3449,0
17817,0
23460,1
3820,0
2155,0
14441,0
27447,0
10921,0
12605,0
20834,1
5886,1
31559,1
31154,0
29945,0
28860,0
1162,0
15997,0
2919,0
21637,0
1760,0
6810,0
14546,1
22429,0
21658,0
26018,1
738,1
31399,0
3211,0
24464,1
794,0
13093,0
7784,0
1612,0
7366,0
19182,1
6988,0
18684,0
14896,0
9097,0
629,0
5548,0
6019,0
17417,0
16995,0
2711,0
12847,0
11070,0
19042,1
10248,0
10339,0
28229,0
12891,0
7950,1
17133,1
1272,0
16696,0
26448,1
7626,0
14534,0
24531,1
26516,0
17060,1
1296,0
2981,1
25545,0
20981,1
32471,0
16251,0
29976,0
31128,0
8757,0
9742,0
29894,0
17662,1
30549,1
11810,1
2543,1
15350,0
9187,0
26447,0
28771,0
6866,0
23078,0
9413,0
14819,1
24702,1
10494,0
19338,0
20966,0
21367,0
10310,0
26298,0
8520,0
26583,0
19586,0
17205,0
28708,0
10214,0
15672,1
20155,0
10931,1
2627,0
15734,0
5848,1
16649,0
15708,0
27245,0
27038,0
14850,0
6553,0
16338,0
20244,0
260,0
8266,1
9433,0
29792,0
25060,0
20450,0
16788,0
30268,0
20270,0
26943,0
24685,1
25186,0
28853,0
334,0
24577,0
16236,0
3636,0
908,0
23646,1
6464,0
23354,0
17606,0
3952,0
16158,0
12546,0
24104,0
27237,1
20444,0
31993,1
12623,0
32534,0
4889,1
3192,0
18232,0
30129,0
28631,1
2133,0
8866,0
13351,0
10882,1
12373,0
8564,1
15661,0
5331,1
18283,0
24426,0
17396,0
5234,0
11123,0
28595,0
1303,0
8077,1
4764,0
3824,1
16264,0
22609,0
6672,0
12664,0
1966,1
26121,0
20206,0
15871,0
15053,0
14516,0
10255,1
8418,0
23808,0
24099,1
18789,0
16342,0
15807,0
30011,0
27295,1
8693,0
27494,0
22086,1
19579,0
25252,1
19249,1
19787,0
26151,0
9729,0
15382,0
31235,0
22462,0
5885,0
13133,0
11845,0
25832,0
8041,0
9669,1
22895,0
15801,0
27956,1
32472,0
7236,0
28345,0
16821,1
17957,0
8479,1
11770,0
4408,1
11202,0
9492,0
26226,0
16187,0
9997,1
1546,0
15851,1
9726,1
3243,1
26537,0
22635,0
30236,1
11548,0
17487,0
23217,0
25378,1
29985,0
5,1
15363,0
9462,0
32263,0
29799,0
26861,1
1146,1
16773,0
30291,0
8822,0
11652,0
26656,1
7146,0
8404,0
26533,0
4413,1
16207,1
380,1
10330,0
3928,0
32491,0
13881,0
1462,1
7469,0
28307,0
5389,1
31009,1
20306,0
30960,0
9065,1
13055,0
11927,0
19196,0
17546,0
22672,0
9062,0
2507,0
31127,0
4097,0
22674,0
30153,0
26732,0
6854,0
16196,1
8114,0
14343,0
29042,0
32295,0
12280,0
9643,1
31299,0
2440,0
16502,1
32388,0
10649,0
13144,0
11274,1
17554,0
26799,0
30330,1
1655,1
11165,0
8582,1
21643,0
7964,0
2255,0
30255,0
9035,0
8628,1
13868,0
22280,0
3807,0
29032,0
30620,0
11302,1
3359,0
13064,0
24184,0
3978,0
15169,0
18791,0
30278,0
14388,0
12966,0
12274,0
21523,0
28193,0
24439,0
22545,0
702,0
4058,0
18493,1
3460,1
19921,0
28507,0
20003,0
6193,0
10112,0
3356,0
20994,0
15081,0
15535,1
3073,0
23899,1
27318,0
26189,0
27684,1
6138,0
11522,0
10181,0
6178,0
4036,1
9730,0
14705,0
4259,0
20031,0
23031,1
26715,0
16489,0
29637,0
7560,1
16403,0
12626,0
20702,0
27616,0
22290,1
2611,0
18619,1
7332,0
22256,0
15480,1
12213,0
4667,0
17947,0
7153,0
29361,0
27397,1
4043,0
15850,0
25392,1
4358,0
4899,1
23214,0
9880,0
22046,0
7150,0
10519,1
3502,0
10637,1
846,0
18265,0
5515,0
7034,0
22343,0
32122,0
3549,0
12250,0
31037,0
32448,0
31846,0
20093,0
25352,0
2063,0
2246,0
181,0
19396,0
28475,1
20434,0
18340,0
4083,1
3117,0
2960,0
25395,0
5252,0
1554,0
10308,0
3516,1
27242,0
2213,0
15308,0
222,0
31191,0
9143,0
29320,0
7053,0
17058,1
14783,0
14359,0
20746,1
15561,0
8974,0
27369,0
19871,0
11320,0
23805,1
14708,1
28696,0
26040,0
22745,0
14816,0
3385,0
24207,0
20949,1
161,0
31055,0
15000,1
6192,0
24129,0
23803,0
19748,0
29850,0
18931,0
24107,0
25382,0
29231,1
13340,1
14098,0
16252,0
12868,0
31030,0
14141,1
30467,0
23011,0
25517,0
16386,0
28745,1
21693,0
13257,0
6511,0
8749,0
2705,0
24766,0
11609,0
10532,0
6168,0
28240,0
6316,0
18150,1
24227,0
31462,0
15650,0
27981,0
25722,0
1742,0
21082,0
2200,0
19260,0
26278,0
22747,0
21579,0
8959,0
22660,0
22375,0
17175,0
6148,1
7768,0
21883,0
8119,1
2475,1
3077,0
10539,0
12532,0
29263,1
22333,1
6172,0
3756,1
23001,0
4362,0
11697,0
32386,0
11477,0
5213,0
1569,1
9676,0
10012,0
13381,1
30828,0
22062,0
4022,0
24797,0
20529,0
31185,0
23897,0
16926,0
3170,0
1289,0
18915,0
19083,1
16640,0
9770,0
25232,0
13608,0
22315,0
30314,0
26309,0
29051,0
8859,1
26434,0
15084,0
5166,1
15016,0
5718,1
23339,0
32184,0
11359,1
24325,0
5446,0
25222,0
13095,0
9720,0
26711,0
19212,0
23006,0
28731,0
28750,0
15512,0
23857,0
4065,0
23600,0
28703,0
17940,0
19262,0
16951,1
26894,0
24389,0
7408,0
6968,0
31876,0
10488,0
8994,1
9757,0
18010,1
22380,1
8318,0
33,0
16050,0
20848,1
16370,1
8014,0
11296,0
19626,0
11682,0
7506,0
8541,0
13449,0
13723,0
12540,0
12082,1
31626,1
5122,0
32511,0
21502,0
29846,1
8001,0
3368,0
27805,0
27068,0
17598,0
11147,0
7855,0
74,0
25506,0
8711,0
6629,0
7210,0
14067,0
12589,0
31014,0
11118,1
27953,0
18382,1
11452,0
29714,0
19359,0
23536,0
31159,1
12026,0
15538,0
20127,1
20640,0
24,0
10656,0
28684,1
9823,0
16987,0
27214,1
24873,0
17123,0
14696,1
21749,0
9194,0
10705,0
17172,0
16717,0
3882,1
1680,0
16633,0
16108,0
28949,0
18290,0
1106,1
9637,0
4823,0
27713,0
5717,0
19764,0
1343,0
28023,1
11193,0
15427,0
28924,1
29183,1
1996,0
13188,0
28634,0
13116,0
12089,0
17512,0
31841,0
29569,0
514,0
21459,1
5533,1
3375,0
7209,0
14477,0
21195,0
13909,0
3915,0
25258,0
3644,0
23772,0
15281,0
10755,1
9266,0
8952,0
25581,0
4417,0
27420,0
25498,1
6093,1
26723,0
13976,0
1778,0
12842,0
27202,0
26167,1
8949,1
27708,0
18790,0
21197,1
12523,0
12796,0
13579,1
14763,0
19583,0
18028,0
5013,0
3925,0
9374,1
8588,0
30312,0
25865,1
3109,0
23935,0
18125,0
16065,0
5483,0
28369,0
30918,0
14897,1
4002,0
22595,0
31718,0
28300,0
9608,0
2174,0
26270,1
23493,0
29269,0
21366,1
6813,0
19747,1
17584,0
24176,0
32093,0
31244,0
4239,0
22326,1
14602,0
14075,1
4301,0
1803,0
30629,1
648,0
13418,0
29608,0
12767,0
1980,0
17922,0
22444,0
21554,0
4890,1
19553,0
18205,0
21040,0
21986,0
3570,0
25976,0
30714,1
25576,0
9121,1
18111,0
10102,0
11219,0
30923,0
24580,0
2787,1
13874,1
7272,1
15317,0
4622,0
19713,0
147,1
27024,1
24793,1
28625,0
20118,0
13017,0
6726,1
23960,1
6681,0
5198,0
28114,1
13653,1
8624,0
17278,0
7642,0
7233,0
241,0
23392,1
10349,0
19349,0
3278,0
18269,0
18156,0
1535,0
10577,0
25985,0
5425,0
19011,0
28022,0
29824,1
12231,0
30892,1
1393,1
26176,0
30007,0
16894,0
31670,0
17247,1
201,0
5913,0
19669,1
18954,1
7015,0
25142,0
965,0
16900,0
6922,0
6356,1
25020,0
26856,0
8044,0
6170,0
9781,0
6092,0
9767,0
6268,0
2696,1
11425,1
27731,0
4870,0
30406,1
30678,0
7199,1
28582,0
15665,1
15569,0
11837,0
22981,0
22575,1
11529,0
13695,1
1120,0
11941,1
13740,1
31969,1
7435,0
30483,0
2993,0
32120,0
28768,0
29832,0
9939,0
23071,0
97,0
13137,0
26884,1
18870,0
14710,0
30907,0
2334,1
11665,0
14137,0
15176,0
10003,0
18537,0
25631,1
29752,1
27565,0
27577,0
25667,0
27008,0
7668,0
27183,0
31649,0
8243,1
9150,0
28008,0
19320,0
21029,0
31807,1
21858,1
24802,0
30642,0
10746,1
11730,0
29709,0
22407,0
17900,0
14992,1
25381,0
18460,0
4857,0
2833,1
11765,0
930,1
8629,1
31168,1
54,0
22293,0
2072,0
16228,0
10186,0
31965,0
9866,0
7275,0
14112,0
26792,0
30012,0
19206,0
23104,1
19851,0
18852,0
10907,0
31411,0
7529,1
26420,0
14960,1
17561,0
8647,0
12930,1
8916,1
30424,0
30908,0
15981,0
1175,0
25811,1
23085,1
11495,0
602,1
12103,0
31043,0
1696,1
6354,0
17657,1
1465,1
1448,0
9564,1
7481,1
20276,0
31915,0
28189,0
13390,0
7157,0
6014,0
14553,0
3760,1
193,1
24769,0
30667,0
17477,1
6761,1
24782,0
6895,0
19603,0
13665,0
12711,0
24363,1
8246,0
28593,0
20192,0
20527,0
20341,0
29209,1
2561,0
16122,0
8137,1
29908,0
19047,1
3360,1
2941,0
15841,0
19741,1
10176,1
32145,0
21980,0
31042,0
2998,0
2923,0
19330,0
3372,0
21852,0
30771,0
220,0
31643,1
1021,0
20559,0
23041,0
9159,0
32419,0
13500,0
21410,0
14336,0
6480,0
8636,0
28922,0
11987,1
25148,0
2390,0
27228,1
15181,0
7898,0
4504,0
13569,0
16896,0
17575,1
15598,0
24820,0
6331,0
31608,1
30481,0
11010,0
12647,0
25278,0
11637,1
25805,1
29722,0
27366,0
12294,0
17468,0
12380,0
28263,1
28757,1
14317,0
11236,1
15697,1
7800,0
31385,0
24727,0
25303,0
7733,0
30537,0
26383,0
17655,1
28344,1
30520,0
22762,0
27207,0
23837,0
32480,0
24285,0
16512,0
22889,0
31245,1
4026,0
3408,0
18398,0
22795,0
3635,0
21178,0
18317,0
9109,1
19756,1
12262,0
3462,0
31973,1
23731,0
30682,0
12045,0
28719,0
13207,1
27040,0
24024,0
8202,0
15980,1
1496,0
8529,0
26551,0
15936,1
14004,0
21934,0
1933,0
9205,1
1840,0
15226,0
5452,0
7403,0
763,0
3720,1
5836,0
28553,0
15861,0
14259,1
768,1
4032,0
31794,0
8938,0
1717,0
6267,0
25403,0
17087,0
32502,0
25725,1
20935,0
29626,0
2818,0
30984,0
2878,0
13362,1
27673,0
17503,0
18240,0
32182,0
25700,0
8975,1
10201,0
19937,0
9117,1
4950,0
9237,0
767,0
7860,0
24138,1
3222,0
16962,1
31437,0
10087,0
10071,0
18467,0
19491,0
17774,1
7982,0
31909,0
10524,0
31561,0
19374,0
22824,0
8860,0
28536,0
2426,0
21708,0
12875,0
11631,0
8756,0
2535,0
25651,1
4068,0
15315,0
19059,0
18139,0
24928,0
29750,1
29128,1
11577,0
24956,0
23426,0
12403,0
2975,0
12237,0
14586,0
27815,0
26835,0
19152,0
22391,1
20426,0
3641,0
18110,0
25841,0
25363,0
32189,0
3003,1
21045,1
15461,0
19379,0
27717,0
5332,1
27686,0
31448,0
21652,0
8730,0
16785,1
8372,1
25956,0
31130,0
23018,0
8858,0
31341,1
24143,0
913,1
29940,0
21400,1
3338,1
1155,0
6986,0
21897,0
11864,0
27315,1
7271,0
25806,1
27942,0
19165,0
11064,1
15489,1
23075,0
19325,1
29503,0
7541,1
31058,1
18750,0
28410,0
23735,1
28487,0
21435,0
19467,0
30494,0
24251,0
5801,0
28806,0
24326,0
23811,0
1200,1
17061,0
14236,0
26763,0
8355,0
29494,0
6470,1
21198,0
20692,0
15504,1
26951,0
17257,0
21989,0
19554,0
21692,0
12973,1
21487,1
28195,0
6252,0
4015,0
30179,1
26095,0
13273,1
6123,0
32190,1
10306,0
20392,0
30244,1
9329,1
7700,0
13827,1
4730,0
423,0
30812,0
14014,0
17063,0
25514,1
1411,0
10401,0
22246,0
16133,0
1652,0
7584,1
27084,1
10692,0
15619,1
4439,0
25625,0
415,0
16712,0
9066,0
196,0
25209,0
18075,0
10591,0
10855,1
22182,1
14747,0
19986,0
31642,0
23885,0
19256,0
26689,0
17035,0
10729,0
27878,1
370,1
32271,0
1739,0
31597,0
14613,0
8454,1
8356,0
26980,1
29561,0
5624,0
570,0
14380,1
23942,0
4699,1
7858,1
18536,0
24294,1
24334,1
14630,0
1610,0
16556,0
3658,0
24388,0
13615,0
11692,0
23698,0
32475,0
6455,0
25859,0
20812,1
31655,1
12357,0
27610,1
31381,0
28430,1
2864,1
22756,1
20357,1
4787,0
1048,0
20923,0
14792,0
1472,0
6953,0
21263,0
2638,0
17227,0
4432,0
10672,0
27046,0
27480,1
5709,0
14670,0
13287,1
9657,0
19897,0
8420,0
24777,1
21244,0
15942,0
4485,1
11036,0
19044,0
9275,0
15386,0
21772,0
13151,1
31810,0
30836,0
426,1
11158,1
7294,1
4098,0
4173,1
26443,0
12559,0
9625,0
21932,0
245,0
12422,1
2956,0
28451,0
19275,1
32517,0
10163,0
6873,0
340,0
32420,1
18159,0
15145,0
9271,1
21433,0
20581,1
3705,0
27017,0
20643,1
20824,0
7018,0
4119,1
21285,0
2338,0
24904,1
23115,1
2501,0
14347,0
13388,0
31527,0
1805,0
30319,1
9583,0
20440,0
24551,1
16011,0
20803,1
19881,0
20011,0
23422,0
4232,0
16022,0
23789,0
16488,0
2122,1
31586,1
21745,0
15274,0
15926,1
20170,0
22451,0
24315,0
4902,0
392,0
27959,1
17155,0
7308,1
11252,1
26408,1
12016,0
5743,1
30798,1
23453,1
13531,1
17306,0
14619,0
2745,0
1226,0
2607,0
26781,0
20451,0
18884,0
20614,0
26114,1
20555,0
23785,1
30500,0
13170,1
17489,0
29927,1
20215,0
2890,0
30046,0
12776,0
31865,0
1924,1
12577,0
1716,1
29338,0
30080,0
22549,0
30731,1
13914,0
16469,0
22737,0
9546,0
15474,0
16719,1
26849,0
29395,0
28661,1
7405,0
1672,0
31367,0
12713,0
1890,0
1954,0
26939,0
3298,0
19026,0
22514,1
4057,0
15345,0
31551,0
13716,1
28724,1
7968,0
9736,1
18680,0
21085,0
12735,0
15335,0
25504,0
233,0
23729,0
14899,0
27325,0
32551,0
12773,0
23693,0
3252,1
4586,0
19588,0
1370,1
13374,0
25244,1
27142,1
11550,1
4477,0
6640,0
408,0
4047,0
17705,1
26455,1
1648,0
6308,0
22194,0
22882,1
29275,0
16198,0
10023,0
10367,0
19609,0
511,1
21129,0
23708,1
12056,0
20915,1
18769,0
27929,1
16698,0
29139,0
1408,1
32236,1
9921,0
10762,0
6411,0
1053,0
25420,0
22037,1
13762,1
6952,0
26815,0
4952,0
21089,0
2867,0
14500,0
5760,0
26251,0
5257,0
23568,1
20238,1
22249,1
15656,0
6805,0
30975,1
17897,0
9580,0
10276,0
26615,1
21709,0
1875,0
2480,0
31405,1
13558,0
6685,0
6302,0
26793,0
14722,0
309,0
2212,0
14738,0
7694,1
12405,0
2836,0
2909,0
7636,0
7188,1
24194,0
4031,0
20166,0
18521,1
20331,0
663,1
28839,0
10351,0
19124,1
23931,0
31119,0
31730,0
32129,0
30376,0
21636,0
29537,0
5879,0
18217,0
13202,0
2804,0
10579,0
28899,1
23475,0
6444,1
31875,0
17053,1
29577,0
24148,0
23093,0
31722,0
24081,1
18163,0
31905,0
20293,0
4541,0
9392,0
16599,1
10923,0
1746,0
2327,0
10017,0
7017,1
16872,1
25371,0
29591,1
13510,1
3509,0
5768,0
3595,1
17938,1
21840,1
27545,0
18910,1
8846,0
83,0
14344,0
2930,0
20568,1
4437,1
14634,1
8120,0
15559,0
2297,0
10505,0
31590,0
27343,1
3914,0
21055,0
14314,0
28258,0
17556,1
31019,0
23917,0
20917,0
2308,0
13691,0
4472,0
8326,1
29130,0
6512,1
616,0
15829,0
21905,0
3126,0
11145,0
1456,0
7538,1
5547,0
23696,0
12477,0
1417,0
13984,0
32272,0
26496,0
522,1
1992,0
29346,0
25282,0
31550,0
964,0
14427,0
25155,0
14638,1
22285,0
17008,0
26531,0
18529,1
12763,0
18057,0
15302,0
561,0
11640,0
20957,0
4687,0
4643,0
5526,1
22666,1
21051,1
28080,0
28282,0
30914,0
4009,0
27520,0
5820,0
3559,1
17944,0
28642,1
2771,0
4995,0
22950,0
30269,0
7564,0
8271,0
19849,0
13211,0
24467,0
24362,1
22630,0
18321,0
1390,0
6069,0
29279,0
31279,1
21070,1
16410,0
17022,0
18358,1
6730,0
25507,0
4629,0
27196,1
28612,1
11762,1
31115,0
7289,0
27866,0
7939,0
25338,0
7548,0
11085,0
6164,0
21755,0
30207,0
30512,0
17659,1
15852,0
20959,0
31817,0
14759,0
8702,0
29452,0
12594,1
22471,0
4770,0
24739,0
20593,0
21018,0
368,0
24591,1
8073,0
17935,0
11466,0
24410,0
19221,1
15906,0
28447,0
4605,0
3116,1
6002,0
8066,1
8253,0
24044,0
19654,0
3802,0
30618,0
13572,0
8791,0
30081,0
22020,0
27532,1
20429,0
15960,0
19619,0
22452,1
28431,0
2780,0
17254,0
1488,1
19167,0
11392,0
21903,0
6399,0
31515,0
11073,0
10364,0
311,0
5772,0
1573,1
10053,0
28136,1
4317,0
12115,0
4932,1
21892,1
28560,0
16550,0
10028,0
12134,0
11833,1
24654,0
21058,1
8038,0
396,0
26119,0
11400,0
17738,1
32558,0
23559,0
5392,0
9207,0
23726,0
6787,1
3302,0
7027,0
18514,1
16466,0
18006,0
11006,0
27614,1
23063,1
18935,0
27443,1
12568,0
11875,0
6443,0
27185,0
21112,0
12803,0
26651,0
25262,1
3917,0
4483,0
12527,0
18092,0
2318,0
2031,0
13623,0
18005,0
25293,0
30294,0
11264,0
23879,1
24683,0
3718,1
4773,0
10132,1
17581,0
19155,1
6310,0
24807,0
16557,0
6755,0
30220,0
32221,1
20131,0
13110,0
3153,0
15332,0
11871,0
4214,0
4357,0
30064,1
12798,0
19938,0
20743,0
25618,0
29659,0
12021,0
3263,0
9622,0
4733,0
17678,1
4464,1
30489,0
4690,1
8111,0
19879,0
24468,0
11867,0
11137,0
885,0
2332,0
9167,0
16168,1
22143,0
5264,0
4793,0
21460,0
6144,0
