,pred
30633,1
30613,0
31918,1
21181,1
17176,1
26497,0
10345,0
11223,1
7492,1
1098,0
24551,0
23148,1
2896,1
27694,1
27051,0
427,1
11720,0
31142,0
25006,0
21,1
30688,0
8707,1
26917,1
15984,0
14747,0
16628,0
23085,0
5831,0
26980,0
19669,1
20746,0
2426,0
28183,0
9143,0
25597,0
14873,0
4322,0
30493,1
14318,0
19368,0
13095,1
11907,0
29321,0
22276,0
24080,0
19491,1
4215,0
22046,0
27789,0
19560,0
14261,0
1743,1
17619,0
14744,0
2788,1
25403,0
19111,1
10510,1
16823,1
8742,0
11436,0
18498,1
13887,0
12451,1
23691,0
7981,0
32487,0
24129,1
13289,1
11459,0
16841,0
9340,0
3565,0
30406,1
19807,1
24,1
24362,0
20567,1
2660,1
30742,0
22385,0
14819,1
30268,1
22194,0
23528,1
21244,1
2729,1
11418,1
340,0
30984,1
4888,0
3820,0
9358,1
18514,1
23829,0
19301,1
5041,1
17554,0
32242,0
8733,0
19741,0
24713,1
2103,1
1742,0
22882,0
9374,1
29659,0
17120,0
9398,0
17702,1
30921,1
13273,1
8808,0
10898,0
9425,0
22228,0
18422,1
14886,0
31767,0
15981,1
9915,0
18154,0
2621,1
10866,0
17717,1
17261,0
1089,1
11682,1
20359,1
14835,1
7337,0
13356,0
18241,1
27507,1
30067,0
23975,1
7304,1
14763,0
8722,1
29112,0
10572,1
11522,0
25811,1
1561,1
12211,0
26850,0
20805,1
27494,1
21058,0
28638,1
10484,1
5124,0
7147,0
31586,1
17252,1
30786,0
13672,0
16426,0
29424,0
30503,0
31504,1
15114,1
11168,0
2580,0
31381,1
4874,1
28865,0
32313,0
20023,1
13984,0
5040,1
27934,0
17960,0
23524,1
19110,1
3348,1
986,1
10757,0
16370,1
10984,1
2255,1
32399,1
25677,0
4584,0
28380,0
19679,1
21141,1
30682,0
21443,1
17897,1
32539,0
2982,1
10125,1
11526,1
23704,1
31880,1
193,0
20926,1
9459,0
7916,1
7748,0
29710,0
26420,0
13298,0
2172,1
9351,0
4079,1
24109,0
9347,1
21986,0
668,0
26268,0
15135,0
22773,1
31561,1
20334,1
8045,1
9643,0
22635,1
22213,1
22511,0
12790,1
10000,1
18902,0
26531,1
12182,0
12855,0
31930,0
30592,0
26372,1
27024,0
9257,0
11847,0
2125,1
27801,1
31116,1
14667,0
2072,1
4377,0
25164,1
9942,1
5812,0
26902,1
29668,1
17216,1
13315,0
16599,1
10705,1
23143,1
6036,1
31411,1
27749,0
9525,1
20740,1
15035,1
23406,1
18493,1
7465,1
7411,1
31189,0
21088,1
14759,1
31396,0
629,0
21796,1
7100,0
31899,1
8001,1
10541,0
1466,0
7272,1
5923,1
32325,1
9109,0
32467,0
17307,1
27831,0
2200,1
30315,0
23364,1
31327,1
12466,1
14155,0
20604,0
21369,1
26583,1
31608,0
7669,0
28376,1
13814,0
18981,0
15351,0
14460,0
32190,1
29992,0
4918,0
1022,0
21324,1
24315,1
32083,0
7768,0
2004,0
24614,1
12424,1
6444,1
7646,1
31731,1
15645,0
5530,0
545,0
20959,1
12230,0
20547,1
479,1
16745,1
20669,1
4653,1
23466,1
19897,0
7118,1
11341,0
307,1
15327,1
8135,0
31766,0
574,1
608,0
30347,1
8189,0
11797,0
19283,1
8980,1
6125,0
23310,1
30975,1
16406,0
23053,0
14160,1
30341,1
19026,0
16373,0
23949,0
12781,0
20984,1
19212,0
1275,1
4439,1
221,0
20239,1
26407,1
22427,0
22605,0
1045,1
13510,0
23071,1
14696,0
15000,1
11124,1
24807,0
24833,0
11006,1
2382,0
21540,1
4692,1
27295,1
24197,0
23879,0
6983,1
13966,1
16219,0
24092,1
4056,0
10706,1
11964,1
8350,0
29287,1
16940,0
9470,1
24624,1
5137,0
11766,1
13032,1
18340,0
10325,1
10219,0
21283,1
15184,1
15204,0
29519,1
31642,1
21049,1
10859,1
7599,0
32235,1
27597,0
8569,1
31809,0
31096,1
1392,0
12191,1
28771,0
31241,1
15630,0
24074,0
7188,1
24947,0
9892,0
15232,0
22451,1
11394,0
19890,0
21709,1
25431,0
14379,0
8296,1
1047,1
30274,1
21779,0
4773,1
25258,1
4605,1
9783,0
26602,0
23574,1
26615,1
2199,1
7982,1
22759,0
26687,1
9842,1
26355,1
5388,1
30417,1
29226,1
8938,1
28078,0
1239,0
14781,1
7572,1
23648,0
31299,0
31425,0
31058,1
10298,0
20003,0
10762,1
7782,1
9416,0
10308,1
22087,0
6774,0
15176,0
2947,1
30013,0
32205,1
20717,1
11481,0
28553,1
20845,0
20050,1
25631,0
24764,1
24334,0
2996,1
28840,0
11609,1
15436,1
13780,0
12405,0
27614,1
27255,0
25580,0
3925,0
4541,0
18121,1
32433,1
6148,1
23785,0
32108,1
4602,1
6813,1
19583,1
8467,0
10386,0
17043,1
31184,1
11314,1
20343,0
13143,1
29663,1
29541,1
8919,1
7787,1
11401,0
20844,0
12300,1
20918,0
26231,1
8636,1
8907,1
9172,0
12239,0
11465,0
4202,1
21664,0
29843,0
6386,0
5711,1
2586,0
29124,1
2449,0
21831,1
12084,1
27245,0
14722,1
25857,1
4950,1
15661,0
24251,0
15315,0
7222,1
29509,0
32392,1
14244,0
28629,0
17518,1
4437,1
4026,1
22437,1
14702,0
7823,1
4358,0
4961,1
19566,0
18500,1
23172,0
18184,0
14320,1
17306,1
20962,0
24216,0
14716,0
21263,1
14746,0
11637,1
26010,0
27413,0
4716,1
28775,0
15923,0
26145,1
23798,0
31877,1
17801,1
15542,1
2327,1
21988,1
14982,1
8246,0
28442,0
14163,0
29246,1
29181,0
9921,1
23803,1
23078,0
12331,0
20181,1
18249,0
22688,1
18283,1
21972,0
16342,1
3971,1
21446,0
4214,0
3663,0
11702,1
9312,0
5316,1
8253,1
25395,1
16909,1
5993,0
28081,1
27079,1
4161,0
20759,0
4077,0
11020,1
31283,1
222,0
15264,0
8346,0
31443,1
23103,0
21561,0
30052,1
22867,1
23227,0
28579,0
8958,0
31905,0
16794,1
20395,0
4506,1
23646,1
10053,0
19828,1
25098,0
28345,1
7391,0
18468,1
25802,1
8617,1
26973,0
14992,0
1820,0
26234,1
17885,1
14392,1
4970,0
16698,0
3907,1
11069,0
12264,0
17684,1
30201,1
13533,0
16149,1
4259,1
20225,1
7797,1
25019,1
5404,1
3521,0
4045,0
16443,1
22746,0
26381,0
26269,1
30989,1
6506,0
18967,0
12609,1
4611,0
31154,1
18111,0
731,0
17359,1
20360,1
29081,0
13000,0
4733,1
19833,0
20007,0
20524,1
22737,1
21275,0
11491,0
1325,1
11826,1
6345,0
6092,0
21681,1
26862,0
30762,0
3278,1
22378,0
20131,0
1145,1
3143,0
3772,0
30269,0
20623,0
4648,1
29036,1
9822,0
335,0
14111,0
9856,0
7710,1
29242,1
21892,1
16133,0
28642,0
12647,1
16412,1
28625,0
2945,1
26162,1
2430,0
17546,0
13745,0
17164,1
23857,1
13151,0
23136,0
10695,1
32307,0
23888,0
31807,1
4380,1
9730,0
20060,0
30638,1
7199,0
21371,1
3516,1
19335,1
7616,1
14969,0
16842,1
29599,0
32425,1
29608,1
22617,1
12708,0
7189,0
12532,1
4690,0
32517,0
18314,0
27673,0
16614,0
31965,1
28493,0
27964,0
20966,0
4065,0
1116,1
15410,0
1143,1
26177,0
29745,0
28184,0
6553,1
28182,0
28752,0
16130,0
20692,1
25555,1
4009,0
14958,0
14359,1
10500,1
25608,0
6132,1
24971,1
6600,1
19508,0
31611,1
448,0
11143,1
10622,0
1716,1
25060,1
27473,0
13747,1
24670,1
8120,0
3888,1
12853,1
21818,0
31926,1
1310,1
3056,1
17903,1
11875,0
23890,1
25506,1
9595,0
18966,1
27929,1
4794,0
18929,1
10357,0
2300,0
23577,0
31204,1
13017,0
32100,0
9433,1
18623,0
9306,0
6737,1
7975,0
27622,1
21158,0
20155,0
22221,0
27527,0
30184,0
25383,0
1754,1
3116,0
4466,0
23426,1
6267,0
28546,1
25262,0
3162,1
28839,0
3188,0
12060,1
17197,1
5445,1
3468,1
32072,0
2423,1
28541,1
4885,0
13144,0
19973,1
27059,0
20091,1
22284,0
8504,0
2237,0
17678,0
8114,0
2269,0
10093,1
5623,0
22516,0
5670,1
4344,0
13211,1
14199,0
12316,0
22165,1
26455,0
27580,1
7585,0
24384,1
26250,0
2417,1
11764,0
945,1
6677,1
8182,0
15890,0
2536,1
1115,1
27602,0
21405,0
22293,1
16559,0
26571,0
8657,1
1476,0
20518,0
22085,0
2212,0
26730,1
3163,1
29013,1
16499,1
24285,0
21090,0
9625,1
28661,0
14349,0
17254,1
4101,1
19747,1
11747,0
31367,0
380,0
16405,1
21748,0
9187,0
7271,0
16761,1
30620,1
31683,1
25020,1
7012,1
1146,1
30780,1
22889,0
27040,1
17503,1
13878,1
10578,0
22902,1
30842,1
3990,0
4301,1
6378,0
31882,0
514,0
22979,1
24714,1
12597,1
15584,0
10777,1
8228,1
24866,0
4133,1
24354,0
4686,1
19914,1
29997,0
11111,0
7153,0
13335,1
26910,0
10504,0
25899,1
9957,1
20636,1
24589,1
86,0
8204,1
12101,1
16512,1
29074,0
20794,0
9015,0
22883,1
13909,0
4147,0
4361,1
22143,1
11987,0
31143,1
1503,1
17063,1
32491,1
20031,1
29526,0
18273,0
22391,1
18884,1
6810,1
4525,0
14393,0
17393,0
11047,0
25649,1
7784,0
28080,0
10218,1
29632,0
18915,1
8106,0
12186,1
15538,0
12044,0
20451,0
12727,0
20102,0
27185,1
1330,1
9009,1
11640,1
6516,0
29359,0
19475,1
27903,0
21186,1
4408,0
9631,0
15561,1
31794,1
7920,0
31136,1
25700,0
16400,0
31399,1
21636,1
27610,0
30043,1
6162,0
26182,1
2935,0
17087,0
24110,0
31718,0
25987,0
29038,1
31696,0
25651,1
14412,0
17657,1
4464,0
24059,0
8348,0
30373,1
12090,0
5733,1
11192,0
18795,1
70,1
12253,0
5314,1
3917,1
29871,1
1258,1
311,1
26937,1
8713,1
21311,0
5582,1
31670,0
4687,1
16436,0
32041,0
14941,0
16742,1
28895,0
13417,1
6772,1
30566,1
9404,1
20546,1
32187,0
3121,1
31598,0
22074,0
12649,0
20244,0
14658,1
3211,1
9954,0
2168,1
23076,1
1397,1
22992,0
32015,1
15301,0
6154,0
3921,1
18289,1
31761,0
21208,0
2987,1
16729,1
11837,0
10770,0
32511,1
31205,1
11496,0
3978,0
24053,1
31564,1
29976,1
18485,0
26255,1
21835,0
13468,0
30598,1
13806,1
1026,1
17868,1
21529,0
18803,0
15840,0
22270,0
30204,0
9300,0
5450,1
11487,1
23673,0
27369,0
24057,1
1204,0
11592,0
11990,0
11313,0
31551,0
30294,0
4512,0
24052,0
13524,1
18029,1
24779,0
11429,1
8108,1
19419,1
1608,0
2771,1
12302,1
2626,0
13074,0
633,0
16220,0
15799,1
19837,1
26715,1
26514,0
28560,1
6272,0
27686,0
7914,1
4932,1
8859,0
14258,0
24651,0
24577,0
29590,0
32122,0
14090,0
29142,0
8241,0
14550,1
28452,0
8167,1
1472,1
24340,1
2787,1
6494,0
2696,0
17344,0
1760,0
8833,0
14777,1
16495,1
16463,0
846,0
9804,1
18408,0
21928,0
32182,0
17519,0
3366,1
21433,1
29607,0
19097,0
429,0
13058,0
1417,0
13183,0
12,0
29395,1
10222,0
10132,0
31765,1
13504,1
23842,0
29187,0
648,0
25822,0
21852,0
14227,1
7275,1
19579,0
15656,0
27106,0
8791,0
29894,1
1603,0
1057,0
25058,0
23614,1
23971,1
24333,0
22312,0
25387,1
24828,1
6874,1
30140,1
11073,1
17477,0
19974,1
8974,0
14229,0
26209,0
21722,1
2972,0
4679,0
26894,0
32174,0
17342,1
23878,0
11309,1
29798,0
10772,0
5656,1
12686,0
10185,1
10180,0
16011,1
23280,0
27364,0
5458,1
27656,0
21171,1
22346,0
2535,1
10069,1
15065,0
25222,1
9742,1
18833,0
24191,0
5760,0
25928,0
29714,1
15761,1
23651,1
15871,1
27373,0
24199,0
31917,1
2233,0
20824,0
10001,0
29686,1
10370,1
23942,1
7325,0
31382,0
20429,0
18918,0
4417,0
10431,0
28253,1
23515,1
6212,1
10201,0
30225,0
10028,0
971,0
147,0
5095,0
18754,0
29908,0
16207,0
24960,1
20549,0
6757,0
23772,0
339,0
669,0
7068,1
19415,1
20357,0
10351,1
31984,0
9966,1
5441,1
15804,1
10855,1
2705,1
22944,1
24050,1
14014,0
32107,1
21018,0
3932,1
29796,1
22549,0
4120,1
28458,0
228,1
1840,1
29966,1
9724,1
3132,1
13760,1
29537,0
19083,1
11480,1
23013,0
29679,0
8704,0
14040,0
25832,1
14241,1
32334,1
3952,1
31341,0
28804,1
6122,1
21948,1
20375,1
5718,0
12780,1
16289,1
18736,0
7604,1
29846,0
8006,0
14531,1
18894,0
555,1
22215,0
15925,1
13476,1
15685,0
3031,0
22497,0
7698,1
29709,1
23814,0
16859,1
18355,0
4413,0
4622,1
4730,0
14418,0
21793,1
20943,0
32324,0
8206,1
9497,1
30081,1
20126,1
4845,0
27653,1
16995,1
32061,0
5789,1
9656,1
7011,0
19298,0
26673,0
23817,0
2822,1
12678,1
6096,1
16464,0
9791,0
14449,1
8844,0
7438,0
16645,0
21633,0
11219,0
21139,0
23844,1
16904,1
7157,1
8335,0
16758,0
1069,0
32529,0
27420,0
